Total renamed files to _v2: 235

--- Renamed Files ---
UI/Ribbons/Ribbon_Yellow_Connection_Left.png -> UI/Ribbons/Ribbon_Yellow_Connection_Left_v2.png
UI/Ribbons/Ribbon_Red_Connection_Down.png -> UI/Ribbons/Ribbon_Red_Connection_Down_v2.png
UI/Ribbons/Ribbon_Blue_Connection_Right_Pressed.png -> UI/Ribbons/Ribbon_Blue_Connection_Right_Pressed_v2.png
UI/Ribbons/Ribbon_Blue_Connection_Right.png -> UI/Ribbons/Ribbon_Blue_Connection_Right_v2.png
UI/Ribbons/Ribbon_Yellow_Connection_Right_Pressed.png -> UI/Ribbons/Ribbon_Yellow_Connection_Right_Pressed_v2.png
UI/Ribbons/Ribbon_Yellow_Connection_Right.png -> UI/Ribbons/Ribbon_Yellow_Connection_Right_v2.png
UI/Ribbons/Ribbon_Yellow_Connection_Up_Pressed.png -> UI/Ribbons/Ribbon_Yellow_Connection_Up_Pressed_v2.png
UI/Ribbons/Ribbon_Blue_Connection_Left_Pressed.png -> UI/Ribbons/Ribbon_Blue_Connection_Left_Pressed_v2.png
UI/Buttons/Button_Red_3Slides_Pressed.png -> UI/Buttons/Button_Red_3Slides_Pressed_v2.png
UI/Buttons/Button_Blue_9Slides.png -> UI/Buttons/Button_Blue_9Slides_v2.png
UI/Buttons/Button_Blue_3Slides.png -> UI/Buttons/Button_Blue_3Slides_v2.png
UI/Buttons/Button_Blue.png -> UI/Buttons/Button_Blue_v2.png
UI/Buttons/Button_Hover_9Slides.png -> UI/Buttons/Button_Hover_9Slides_v2.png
UI/Buttons/Button_Red_3Slides.png -> UI/Buttons/Button_Red_3Slides_v2.png
UI/Buttons/Button_Red.png -> UI/Buttons/Button_Red_v2.png
UI/Buttons/Button_Blue_Pressed.png -> UI/Buttons/Button_Blue_Pressed_v2.png
UI/Buttons/Button_Red_9Slides.png -> UI/Buttons/Button_Red_9Slides_v2.png
UI/Buttons/Button_Disable_3Slides.png -> UI/Buttons/Button_Disable_3Slides_v2.png
UI/Buttons/Button_Hover.png -> UI/Buttons/Button_Hover_v2.png
UI/Buttons/Button_Hover_3Slides.png -> UI/Buttons/Button_Hover_3Slides_v2.png
UI/Buttons/Button_Blue_9Slides_Pressed.png -> UI/Buttons/Button_Blue_9Slides_Pressed_v2.png
UI/Buttons/Button_Red_9Slides_Pressed.png -> UI/Buttons/Button_Red_9Slides_Pressed_v2.png
UI/Buttons/Button_Disable.png -> UI/Buttons/Button_Disable_v2.png
UI/Buttons/Button_Red_Pressed.png -> UI/Buttons/Button_Red_Pressed_v2.png
UI/Buttons/Button_Disable_9Slides.png -> UI/Buttons/Button_Disable_9Slides_v2.png
UI/Buttons/Button_Blue_3Slides_Pressed.png -> UI/Buttons/Button_Blue_3Slides_Pressed_v2.png
UI/Banners/Banner_Connection_Left.png -> UI/Banners/Banner_Connection_Left_v2.png
UI/Banners/Banner_Connection_Up.png -> UI/Banners/Banner_Connection_Up_v2.png
UI/Banners/Carved_9Slides.png -> UI/Banners/Carved_9Slides_v2.png
UI/Banners/Banner_Vertical.png -> UI/Banners/Banner_Vertical_v2.png
UI/Banners/Carved_3Slides.png -> UI/Banners/Carved_3Slides_v2.png
UI/Banners/Banner_Horizontal.png -> UI/Banners/Banner_Horizontal_v2.png
UI/Banners/Banner_Connection_Right.png -> UI/Banners/Banner_Connection_Right_v2.png
UI/Banners/Carved_Regular.png -> UI/Banners/Carved_Regular_v2.png
UI/Banners/Banner_Connection_Down.png -> UI/Banners/Banner_Connection_Down_v2.png
UI/Icons/Regular_06.png -> UI/Icons/Regular_06_v2.png
UI/Icons/Regular_05.png -> UI/Icons/Regular_05_v2.png
UI/Icons/Disable_08.png -> UI/Icons/Disable_08_v2.png
UI/Icons/Regular_04.png -> UI/Icons/Regular_04_v2.png
UI/Icons/Disable_04.png -> UI/Icons/Disable_04_v2.png
UI/Icons/Pressed_05.png -> UI/Icons/Pressed_05_v2.png
UI/Icons/Pressed_03.png -> UI/Icons/Pressed_03_v2.png
UI/Icons/Disable_03.png -> UI/Icons/Disable_03_v2.png
UI/Icons/Disable_05.png -> UI/Icons/Disable_05_v2.png
UI/Icons/Regular_02.png -> UI/Icons/Regular_02_v2.png
UI/Icons/Pressed_09.png -> UI/Icons/Pressed_09_v2.png
UI/Icons/Regular_03.png -> UI/Icons/Regular_03_v2.png
UI/Icons/Disable_02.png -> UI/Icons/Disable_02_v2.png
UI/Icons/Regular_09.png -> UI/Icons/Regular_09_v2.png
UI/Icons/Disable_09.png -> UI/Icons/Disable_09_v2.png
UI/Icons/Disable_07.png -> UI/Icons/Disable_07_v2.png
UI/Icons/Pressed_02.png -> UI/Icons/Pressed_02_v2.png
UI/Icons/Pressed_07.png -> UI/Icons/Pressed_07_v2.png
UI/Icons/Regular_01.png -> UI/Icons/Regular_01_v2.png
UI/Icons/Regular_10.png -> UI/Icons/Regular_10_v2.png
UI/Icons/Disable_01.png -> UI/Icons/Disable_01_v2.png
UI/Icons/Pressed_06.png -> UI/Icons/Pressed_06_v2.png
UI/Icons/Disable_10.png -> UI/Icons/Disable_10_v2.png
UI/Icons/Regular_07.png -> UI/Icons/Regular_07_v2.png
UI/Icons/Regular_08.png -> UI/Icons/Regular_08_v2.png
UI/Icons/Pressed_10.png -> UI/Icons/Pressed_10_v2.png
UI/Icons/Pressed_04.png -> UI/Icons/Pressed_04_v2.png
UI/Icons/Pressed_01.png -> UI/Icons/Pressed_01_v2.png
UI/Icons/Disable_06.png -> UI/Icons/Disable_06_v2.png
UI/Icons/Pressed_08.png -> UI/Icons/Pressed_08_v2.png
UI/Pointers/06.png -> UI/Pointers/06_v2.png
UI/Pointers/02.png -> UI/Pointers/02_v2.png
UI/Pointers/03.png -> UI/Pointers/03_v2.png
UI/Pointers/01.png -> UI/Pointers/01_v2.png
UI/Pointers/05.png -> UI/Pointers/05_v2.png
UI/Pointers/04.png -> UI/Pointers/04_v2.png
Resources/Resources/W_Spawn.png -> Decorations/Resources/W_Spawn_v2.png
Resources/Resources/M_Idle.png -> Decorations/Resources/M_Idle_v2.png
Resources/Resources/W_Idle.png -> Decorations/Resources/W_Idle_v2.png
Resources/Resources/G_Idle_(NoShadow).png -> Decorations/Resources/G_Idle_(NoShadow)_v2.png
Resources/Resources/G_Idle.png -> Decorations/Resources/G_Idle_v2.png
Resources/Resources/M_Idle_(NoShadow).png -> Decorations/Resources/M_Idle_(NoShadow)_v2.png
Resources/Resources/Resources.aseprite -> Decorations/Resources/Resources_v2.aseprite
Resources/Resources/W_Idle_(NoShadow).png -> Decorations/Resources/W_Idle_(NoShadow)_v2.png
Resources/Resources/G_Spawn.png -> Decorations/Resources/G_Spawn_v2.png
Resources/Resources/M_Spawn.png -> Decorations/Resources/M_Spawn_v2.png
Resources/Sheep/HappySheep_All.png -> Decorations/Sheep/HappySheep_All_v2.png
Resources/Sheep/HappySheep_Bouncing.png -> Decorations/Sheep/HappySheep_Bouncing_v2.png
Resources/Sheep/Happy_Sheep.aseprite -> Decorations/Sheep/Happy_Sheep_v2.aseprite
Resources/Sheep/HappySheep_Idle.png -> Decorations/Sheep/HappySheep_Idle_v2.png
Resources/Gold Mine/GoldMine_Destroyed.png -> Decorations/Gold Mine/GoldMine_Destroyed_v2.png
Resources/Gold Mine/GoldMine_Inactive.png -> Decorations/Gold Mine/GoldMine_Inactive_v2.png
Resources/Gold Mine/GoldMine_Active.png -> Decorations/Gold Mine/GoldMine_Active_v2.png
Resources/Trees/Tree.png -> Decorations/Trees/Tree_v2.png
Resources/Trees/Gemini_Generated_Image_ui11cui11cui11cu.png -> Decorations/Trees/Gemini_Generated_Image_ui11cui11cui11cu_v2.png
Resources/Trees/Tree.aseprite -> Decorations/Trees/Tree_v2.aseprite
Effects/Fire/Fire.png -> Effects/Fire/Fire_v2.png
Effects/Fire/Fire.aseprite -> Effects/Fire/Fire_v2.aseprite
Effects/Explosion/Explosions.png -> Effects/Explosion/Explosions_v2.png
Effects/Explosion/Explosions.aseprite -> Effects/Explosion/Explosions_v2.aseprite
Terrain/Water/Water.png -> Terrain/Water/Water_v2.png
Terrain/Water/Foam/Foam.aseprite -> Terrain/Foam/Foam_v2.aseprite
Terrain/Water/Foam/Foam.png -> Terrain/Foam/Foam_v2.png
Terrain/Water/Rocks/Rocks_01.png -> Terrain/Rocks/Rocks_01_v2.png
Terrain/Water/Rocks/Rocks_03.png -> Terrain/Rocks/Rocks_03_v2.png
Terrain/Water/Rocks/Rocks_02.png -> Terrain/Rocks/Rocks_02_v2.png
Terrain/Water/Rocks/Rocks.aseprite -> Terrain/Rocks/Rocks_v2.aseprite
Terrain/Water/Rocks/Rocks_04.png -> Terrain/Rocks/Rocks_04_v2.png
Terrain/Ground/Tilemap_Elevation.png -> Terrain/Ground/Tilemap_Elevation_v2.png
Terrain/Ground/Tilemap_Flat.png -> Terrain/Ground/Tilemap_Flat_v2.png
Terrain/Ground/Shadows.png -> Terrain/Ground/Shadows_v2.png
Terrain/Bridge/Bridge_All.png -> Terrain/Bridge/Bridge_All_v2.png
Factions/Knights/Buildings/Tower/Tower_Red.png -> Sprites/Tower/Tower_Red_v2.png
Factions/Knights/Buildings/Tower/Tower_Yellow.png -> Sprites/Tower/Tower_Yellow_v2.png
Factions/Knights/Buildings/Tower/Tower_Blue.png -> Sprites/Tower/Tower_Blue_v2.png
Factions/Knights/Buildings/Tower/Tower_Construction.png -> Sprites/Tower/Tower_Construction_v2.png
Factions/Knights/Buildings/Tower/Tower_Destroyed.png -> Sprites/Tower/Tower_Destroyed_v2.png
Factions/Knights/Buildings/Tower/Tower_Purple.png -> Sprites/Tower/Tower_Purple_v2.png
Factions/Knights/Buildings/House/House_Blue.png -> Sprites/House/House_Blue_v2.png
Factions/Knights/Buildings/House/House_Purple.png -> Sprites/House/House_Purple_v2.png
Factions/Knights/Buildings/House/House_Destroyed.png -> Sprites/House/House_Destroyed_v2.png
Factions/Knights/Buildings/House/House_Yellow.png -> Sprites/House/House_Yellow_v2.png
Factions/Knights/Buildings/House/House_Construction.png -> Sprites/House/House_Construction_v2.png
Factions/Knights/Buildings/House/House_Red.png -> Sprites/House/House_Red_v2.png
Factions/Knights/Buildings/Castle/Castle_Purple.png -> Sprites/Castle/Castle_Purple_v2.png
Factions/Knights/Buildings/Castle/Castle_Construction.png -> Sprites/Castle/Castle_Construction_v2.png
Factions/Knights/Buildings/Castle/Castle_Yellow.png -> Sprites/Castle/Castle_Yellow_v2.png
Factions/Knights/Buildings/Castle/Castle_Red.png -> Sprites/Castle/Castle_Red_v2.png
Factions/Knights/Buildings/Castle/Castle_Blue.png -> Sprites/Castle/Castle_Blue_v2.png
Factions/Knights/Buildings/Castle/Castle_Destroyed.png -> Sprites/Castle/Castle_Destroyed_v2.png
Factions/Knights/Troops/Warrior/Blue/Warrior_Blue.aseprite -> Sprites/Warrior/Blue/Warrior_Blue_v2.aseprite
Factions/Knights/Troops/Warrior/Blue/Warrior_Blue.png -> Sprites/Warrior/Blue/Warrior_Blue_v2.png
Factions/Knights/Troops/Warrior/Yellow/Warrior_Yellow.png -> Sprites/Warrior/Yellow/Warrior_Yellow_v2.png
Factions/Knights/Troops/Warrior/Yellow/Warrior_Yellow.aseprite -> Sprites/Warrior/Yellow/Warrior_Yellow_v2.aseprite
Factions/Knights/Troops/Warrior/Red/Warrior_Red.png -> Sprites/Warrior/Red/Warrior_Red_v2.png
Factions/Knights/Troops/Warrior/Red/Warrior_Red.aseprite -> Sprites/Warrior/Red/Warrior_Red_v2.aseprite
Factions/Knights/Troops/Warrior/Purple/Warrior_Purple.png -> Sprites/Warrior/Purple/Warrior_Purple_v2.png
Factions/Knights/Troops/Warrior/Purple/Warrior_Purple.aseprite -> Sprites/Warrior/Purple/Warrior_Purple_v2.aseprite
Factions/Knights/Troops/Pawn/Blue/Pawn_Blue.png -> Sprites/Pawn/Blue/Pawn_Blue_v2.png
Factions/Knights/Troops/Pawn/Blue/Pawn_Blue.aseprite -> Sprites/Pawn/Blue/Pawn_Blue_v2.aseprite
Factions/Knights/Troops/Pawn/Yellow/Pawn_Yellow.png -> Sprites/Pawn/Yellow/Pawn_Yellow_v2.png
Factions/Knights/Troops/Pawn/Yellow/Pawn_Yellow.aseprite -> Sprites/Pawn/Yellow/Pawn_Yellow_v2.aseprite
Factions/Knights/Troops/Pawn/Red/Pawn_Red.aseprite -> Sprites/Pawn/Red/Pawn_Red_v2.aseprite
Factions/Knights/Troops/Pawn/Red/Pawn_Red.png -> Sprites/Pawn/Red/Pawn_Red_v2.png
Factions/Knights/Troops/Pawn/Purple/Pawn_Purple.aseprite -> Sprites/Pawn/Purple/Pawn_Purple_v2.aseprite
Factions/Knights/Troops/Pawn/Purple/Pawn_Purple.png -> Sprites/Pawn/Purple/Pawn_Purple_v2.png
Factions/Knights/Troops/Archer/Archer + Bow.zip -> Sprites/Archer/Archer + Bow_v2.zip
Factions/Knights/Troops/Archer/Archer + Bow/Archer_Bow_Blue.png -> Sprites/Archer/Archer_Bow_Blue_v2.png
Factions/Knights/Troops/Archer/Archer + Bow/Archer_Purple_(NoArms).png -> Sprites/Archer/Archer_Purple_(NoArms)_v2.png
Factions/Knights/Troops/Archer/Archer + Bow/Archer_Bow_Purple.png -> Sprites/Archer/Archer_Bow_Purple_v2.png
Factions/Knights/Troops/Archer/Archer + Bow/Archer_Bow_Red.png -> Sprites/Archer/Archer_Bow_Red_v2.png
Factions/Knights/Troops/Archer/Archer + Bow/Archer_Yellow_(NoArms).png -> Sprites/Archer/Archer_Yellow_(NoArms)_v2.png
Factions/Knights/Troops/Archer/Archer + Bow/Archer_Blue_(NoArms).png -> Sprites/Archer/Archer_Blue_(NoArms)_v2.png
Factions/Knights/Troops/Archer/Archer + Bow/Archer_Red_(NoArms).png -> Sprites/Archer/Archer_Red_(NoArms)_v2.png
Factions/Knights/Troops/Archer/Archer + Bow/Archer_Bow_Yellow.png -> Sprites/Archer/Archer_Bow_Yellow_v2.png
Factions/Knights/Troops/Archer/Blue/Archer_Blue.aseprite -> Sprites/Archer/Blue/Archer_Blue_v2.aseprite
Factions/Knights/Troops/Archer/Blue/Archer_Blue.png -> Sprites/Archer/Blue/Archer_Blue_v2.png
Factions/Knights/Troops/Archer/Yellow/Archer_Yellow.png -> Sprites/Archer/Yellow/Archer_Yellow_v2.png
Factions/Knights/Troops/Archer/Yellow/Archer_Yellow.aseprite -> Sprites/Archer/Yellow/Archer_Yellow_v2.aseprite
Factions/Knights/Troops/Archer/Red/Archer_Red.png -> Sprites/Archer/Red/Archer_Red_v2.png
Factions/Knights/Troops/Archer/Red/Archer_Red.aseprite -> Sprites/Archer/Red/Archer_Red_v2.aseprite
Factions/Knights/Troops/Archer/Arrow/Arrow.png -> Sprites/Archer/Arrow_v2.png
Factions/Knights/Troops/Archer/Purple/Archer_Purlple.aseprite -> Sprites/Archer/Purple/Archer_Purlple_v2.aseprite
Factions/Knights/Troops/Archer/Purple/Archer_Purlple.png -> Sprites/Archer/Purple/Archer_Purlple_v2.png
Factions/Knights/Troops/Dead/Dead.aseprite -> Sprites/Dead/Dead_v2.aseprite
Factions/Knights/Troops/Dead/Dead.png -> Sprites/Dead/Dead_v2.png
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Blue.png -> Sprites/Wood_Tower/Wood_Tower_Blue_v2.png
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_InConstruction.png -> Sprites/Wood_Tower/Wood_Tower_InConstruction_v2.png
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Red.aseprite -> Sprites/Wood_Tower/Wood_Tower_Red_v2.aseprite
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Purple.png -> Sprites/Wood_Tower/Wood_Tower_Purple_v2.png
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Yellow.aseprite -> Sprites/Wood_Tower/Wood_Tower_Yellow_v2.aseprite
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Blue.aseprite -> Sprites/Wood_Tower/Wood_Tower_Blue_v2.aseprite
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Red.png -> Sprites/Wood_Tower/Wood_Tower_Red_v2.png
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Purple.aseprite -> Sprites/Wood_Tower/Wood_Tower_Purple_v2.aseprite
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Yellow.png -> Sprites/Wood_Tower/Wood_Tower_Yellow_v2.png
Factions/Goblins/Buildings/Wood_Tower/Wood_Tower_Destroyed.png -> Sprites/Wood_Tower/Wood_Tower_Destroyed_v2.png
Factions/Goblins/Buildings/Wood_House/Goblin_House.png -> Sprites/Wood_House/Goblin_House_v2.png
Factions/Goblins/Buildings/Wood_House/Goblin_House_Destroyed.png -> Sprites/Wood_House/Goblin_House_Destroyed_v2.png
Factions/Goblins/Troops/TNT/Blue/TNT_Blue.png -> Sprites/TNT/Blue/TNT_Blue_v2.png
Factions/Goblins/Troops/TNT/Blue/TNT_Blue.aseprite -> Sprites/TNT/Blue/TNT_Blue_v2.aseprite
Factions/Goblins/Troops/TNT/Dynamite/Dynamite.png -> Sprites/TNT/Dynamite_v2.png
Factions/Goblins/Troops/TNT/Yellow/TNT_Yellow.png -> Sprites/TNT/Yellow/TNT_Yellow_v2.png
Factions/Goblins/Troops/TNT/Yellow/TNT_Yellow.aseprite -> Sprites/TNT/Yellow/TNT_Yellow_v2.aseprite
Factions/Goblins/Troops/TNT/Red/TNT_Red.aseprite -> Sprites/TNT/Red/TNT_Red_v2.aseprite
Factions/Goblins/Troops/TNT/Red/TNT_Red.png -> Sprites/TNT/Red/TNT_Red_v2.png
Factions/Goblins/Troops/TNT/Purple/TNT_Purple.aseprite -> Sprites/TNT/Purple/TNT_Purple_v2.aseprite
Factions/Goblins/Troops/TNT/Purple/TNT_Purple.png -> Sprites/TNT/Purple/TNT_Purple_v2.png
Factions/Goblins/Troops/Torch/Blue/Torch_Blue.aseprite -> Sprites/Torch/Blue/Torch_Blue_v2.aseprite
Factions/Goblins/Troops/Torch/Blue/Torch_Blue.png -> Sprites/Torch/Blue/Torch_Blue_v2.png
Factions/Goblins/Troops/Torch/Yellow/Torch_Yellow.png -> Sprites/Torch/Yellow/Torch_Yellow_v2.png
Factions/Goblins/Troops/Torch/Yellow/Torch_Yellow.aseprite -> Sprites/Torch/Yellow/Torch_Yellow_v2.aseprite
Factions/Goblins/Troops/Torch/Red/Torch_Red.png -> Sprites/Torch/Red/Torch_Red_v2.png
Factions/Goblins/Troops/Torch/Red/Torch_Red.aseprite -> Sprites/Torch/Red/Torch_Red_v2.aseprite
Factions/Goblins/Troops/Torch/Purple/Torch_Purple.png -> Sprites/Torch/Purple/Torch_Purple_v2.png
Factions/Goblins/Troops/Torch/Purple/Torch_Purple.aseprite -> Sprites/Torch/Purple/Torch_Purple_v2.aseprite
Factions/Goblins/Troops/Barrel/Blue/Barrel_Blue.aseprite -> Sprites/Barrel/Blue/Barrel_Blue_v2.aseprite
Factions/Goblins/Troops/Barrel/Blue/Barrel_Blue.png -> Sprites/Barrel/Blue/Barrel_Blue_v2.png
Factions/Goblins/Troops/Barrel/Yellow/Barrel_Yellow.png -> Sprites/Barrel/Yellow/Barrel_Yellow_v2.png
Factions/Goblins/Troops/Barrel/Yellow/Barrel_Yellow.aseprite -> Sprites/Barrel/Yellow/Barrel_Yellow_v2.aseprite
Factions/Goblins/Troops/Barrel/Red/Barrel_Red.aseprite -> Sprites/Barrel/Red/Barrel_Red_v2.aseprite
Factions/Goblins/Troops/Barrel/Red/Barrel_Red.png -> Sprites/Barrel/Red/Barrel_Red_v2.png
Factions/Goblins/Troops/Barrel/Purple/Barrel_Purple.png -> Sprites/Barrel/Purple/Barrel_Purple_v2.png
Factions/Goblins/Troops/Barrel/Purple/Barrel_Purple.aseprite -> Sprites/Barrel/Purple/Barrel_Purple_v2.aseprite
Deco/06.png -> Decorations/Deco/06_v2.png
Deco/07.png -> Decorations/Deco/07_v2.png
Deco/17.png -> Decorations/Deco/17_v2.png
Deco/18.png -> Decorations/Deco/18_v2.png
Deco/13.png -> Decorations/Deco/13_v2.png
Deco/02.png -> Decorations/Deco/02_v2.png
Deco/14.png -> Decorations/Deco/14_v2.png
Deco/03.png -> Decorations/Deco/03_v2.png
Deco/08.png -> Decorations/Deco/08_v2.png
Deco/12.png -> Decorations/Deco/12_v2.png
Deco/11.png -> Decorations/Deco/11_v2.png
Deco/01.png -> Decorations/Deco/01_v2.png
Deco/16.png -> Decorations/Deco/16_v2.png
Deco/05.png -> Decorations/Deco/05_v2.png
Deco/09.png -> Decorations/Deco/09_v2.png
Deco/04.png -> Decorations/Deco/04_v2.png
Deco/15.png -> Decorations/Deco/15_v2.png
Deco/10.png -> Decorations/Deco/10_v2.png
